,tree_id,lat,lon,month_planted,year_planted,season
2,43163,37.72603642,-122.4226902,7,2000,summer
10,94792,37.79098842,-122.4508487,11,2010,fall
13,29149,37.7839498,-122.4126863,6,2015,summer
14,82688,37.75197824,-122.4968327,6,2008,summer
18,30326,37.71906925,-122.4591242,10,2017,fall
21,106947,37.79606292,-122.4453857,7,2014,summer
27,46353,37.79078673,-122.4412931,2,2002,winter
28,41683,37.76097966,-122.4446096,6,2000,summer
29,89070,37.77639009,-122.4768635,3,2008,spring
31,89610,37.77769248,-122.4933791,11,2015,fall
42,167503,37.76441456,-122.4314733,8,2018,summer
44,84674,37.75130564,-122.4328702,12,2012,winter
46,10331,37.77167675,-122.4361039,4,2007,spring
47,57298,37.76495791,-122.4224007,8,1976,summer
49,108783,37.71364778,-122.4224308,1,2015,winter
50,55091,37.77806161,-122.4748418,9,1972,fall
52,88336,37.72000186,-122.4319386,7,2008,summer
54,266554,37.76136095,-122.4392648,10,2021,fall
59,43663,37.77608334,-122.4692206,7,2000,summer
62,6843,37.74047206,-122.3865874,3,2007,spring
68,90708,37.77350962,-122.5057833,4,2008,spring
70,26049,37.71326115,-122.4573902,3,2007,spring
75,111742,37.77653303,-122.4777297,1,2016,winter
93,258210,37.75222364,-122.5021985,4,2019,spring
94,86344,37.74347936,-122.4822505,12,2006,winter
97,5922,37.78206203,-122.4296075,5,1992,spring
100,110156,37.79683937,-122.4142918,3,2015,spring
108,16957,37.77398518,-122.4301281,1,2008,winter
110,67486,37.75926202,-122.3990347,9,1992,fall
111,92244,37.75896284,-122.4907049,7,2009,summer
112,15201,37.77888219,-122.4114764,4,1995,spring
120,1509,37.78454089,-122.4587286,10,1996,fall
124,22038,37.75340073,-122.3876708,2,1995,winter
125,93324,37.77931477,-122.4437504,11,2008,fall
126,68331,37.77874487,-122.4734554,8,1993,summer
133,57164,37.79116984,-122.4443019,10,1974,fall
135,10479,37.769751,-122.4494797,12,2007,winter
141,31815,37.7697757,-122.435117,6,1995,summer
144,136801,37.78893725,-122.4439304,2,2018,winter
150,63002,37.76335092,-122.5019086,9,1986,fall
159,256115,37.73711377,-122.4152742,9,2018,fall
160,8671,37.78220247,-122.4504931,2,1996,winter
171,56411,37.78564138,-122.4775333,8,1973,summer
177,86439,37.73986094,-122.4839842,12,2006,winter
178,235870,37.76124092,-122.4089886,5,1994,spring
183,86159,37.7644623,-122.4826285,1,2007,winter
192,37189,37.75957389,-122.488576,4,2001,spring
199,209652,37.75653473,-122.4686951,5,1973,spring
208,113643,37.77527096,-122.4159838,2,2016,winter
214,5026,37.74277322,-122.436671,1,1992,winter
218,184542,37.75497106,-122.4991718,2,2018,winter
226,24492,37.77560902,-122.4249888,6,1995,summer
227,177596,37.71136852,-122.4526619,1,2018,winter
231,45763,37.78861457,-122.4583124,10,2001,fall
237,49525,37.76969642,-122.4087483,4,2003,spring
250,40189,37.72969602,-122.4112413,4,1999,spring
262,175507,37.72939087,-122.4210958,6,2021,summer
263,13795,37.78339759,-122.4085601,9,1993,fall
264,30362,37.75852471,-122.3981897,3,1956,spring
269,253547,37.72207681,-122.4398369,9,2017,fall
270,52707,37.7898597,-122.4575512,3,2006,spring
271,83366,37.71820238,-122.4311201,7,2009,summer
272,43761,37.78122955,-122.4761315,7,2000,summer
275,25779,37.7111607,-122.426399,4,1997,spring
279,10545,37.732451,-122.3785079,2,1992,winter
280,51059,37.73679169,-122.3926933,7,2004,summer
282,45648,37.7261072,-122.4271553,10,2005,fall
286,92462,37.75686541,-122.4999649,7,2009,summer
291,23044,37.75668817,-122.4212589,2,1995,winter
293,119272,37.79356851,-122.4111998,7,2016,summer
296,42162,37.77484119,-122.4737999,6,2000,summer
314,138948,37.7762322,-122.4286181,8,2008,summer
315,44181,37.80435416,-122.4421061,12,2000,winter
327,91747,37.75578034,-122.4122624,3,2007,spring
329,43773,37.78567623,-122.478781,7,2000,summer
331,102923,37.78962626,-122.4198788,3,2013,spring
334,66134,37.80126871,-122.4465906,11,2011,fall
335,32556,37.75731405,-122.4265636,10,1996,fall
337,92291,37.74023949,-122.4777217,7,2009,summer
339,44312,37.79379946,-122.4393364,3,2001,spring
342,94213,37.76055798,-122.3962357,6,2010,summer
343,160846,37.7177707,-122.4323633,10,2017,fall
344,103764,37.78927035,-122.4195758,11,2009,fall
351,95337,37.79909187,-122.4012351,8,2011,summer
354,42979,37.72596423,-122.4193796,7,2000,summer
355,35587,37.80287197,-122.4365902,3,1998,spring
358,95966,37.7805919,-122.4785275,3,2011,spring
366,76145,37.8033776,-122.4241268,11,1996,fall
